configuration,Man_bits,Man_ecc,Jetplane_bits,Jetplane_ecc,Baboon_bits,Baboon_ecc,Tiffany_bits,Tiffany_ecc,total_bits,mean_ecc,loss_from_full_bits
full,872799,3.3294639587402344,1035906.0,3.9516677856445312,491502,1.8749313354492188,980588,3.7406463623046875,3380795.0,3.224177360534668,0.0
no_scec,867468,3.3091278076171875,1031964.0,3.9366302490234375,488107,1.8619804382324219,985630,3.7598800659179688,3373169.0,3.216904640197754,7626.0
no_feedback,867468,3.3091278076171875,1033352.0,3.941925048828125,488107,1.8619804382324219,985630,3.7598800659179688,3374557.0,3.218228340148926,6238.0
no_spatial,872799,3.3294639587402344,1031992.0,3.936737060546875,491502,1.8749313354492188,980588,3.7406463623046875,3376881.0,3.220444679260254,3914.0
weight_05,870781,3.321765899658203,1037027.0,3.955944061279297,489521,1.8673744201660156,977704,3.729644775390625,3375033.0,3.218682289123535,5762.0
no_bias_clamp,873438,3.3319015502929688,1035975.0,3.9519309997558594,488505,1.8634986877441406,980581,3.740619659423828,3378499.0,3.221987724304199,2296.0
no_neighborhood_clamp,872799,3.3294639587402344,1035906.0,3.9516677856445312,491502,1.8749313354492188,980588,3.7406463623046875,3380795.0,3.224177360534668,0.0
