image,first,geometric,centroid,finite_best,finite_best_row,finite_best_col
Man,3.319988250732422,3.3266754150390625,3.3294639587402344,3.339160919189453,128,256
Jetplane,3.9516830444335938,3.9309310913085938,3.9516677856445312,3.9572677612304688,128,384
Baboon,1.8519744873046875,1.8635787963867188,1.8749313354492188,1.8749313354492188,179,244
Tiffany,3.744609832763672,3.742919921875,3.7406463623046875,3.7462501525878906,256,384
