image,mhm_plaintext_gross,idpvo_plaintext_gross,mhm_ciphertext_gross,idpvo_ciphertext_gross,proposed_net
Man,0.7788352966308594,0.397003173828125,0.0463714599609375,0.0347442626953125,3.3294639587402344
Jetplane,0.8687667846679688,0.5670051574707031,0.0471649169921875,0.034740447998046875,3.9516677856445312
Baboon,0.4102668762207031,0.186309814453125,0.046779632568359375,0.034576416015625,1.8749313354492188
Tiffany,0.8195533752441406,0.5015792846679688,0.0460357666015625,0.034671783447265625,3.7406463623046875
