image,payload_bits,ecc_bpp,mean_forward_seconds,std_forward_seconds,pixel_mismatches
Man,872799,3.3294639587402344,2.4067076666666667,0.049427770732790956,0
Jetplane,1035906,3.9516677856445312,2.1467355,0.032777256601033714,0
Baboon,491502,1.8749313354492188,2.8178924999999997,0.06989687614185619,0
Tiffany,980588,3.7406463623046875,2.1746045333333335,0.029237975032709355,0
